model,ad_title,year,km,color,price,ad_date,location
"
                        1.4 TDi Comfortline","















    KC OTOMOTİV 2016 POLO 1.4 TDİ COMFORTLİNE DSG KAZASIZ/DEĞİŞENSİZ



","
                    2016","
                    66.635","
                    Beyaz","
 99.750 TL","
25 Aralık

2019
","
                        İstanbulAtaşehir"
"
                        1.4 Chrome Edition","















    ÖĞRETMENDEN KAZASIZ BOYASIZ
","
                    2013","
                    83.010","
                    Siyah","
 80.250 TL","
25 Aralık

2019
","
                        ArtvinMerkez"
"
                        1.2 Trendline","















    ÖĞRETMENDEN TEMİZ POLO
","
                    1970","
                    65.000","
                    Kırmızı","
 62.000 TL","
25 Aralık

2019
","
                        KilisMerkez"
"
                        1.2 TSI Comfortline","















    Bakımlı km düşük polo
","
                    2015","
                    50.000","
                    Füme","
 78.000 TL","
25 Aralık

2019
","
                        BursaNilüfer"
"
                        1.6 TDi Comfortline","















    HATASIZ 2PARÇA BOYALI



","
                    2013","
                    73.000","
                    Beyaz","
 79.800 TL","
25 Aralık

2019
","
                        OsmaniyeMerkez"
"
                        1.0 TSI Comfortline","















    2017 ''61.000KM'' POLO 1.0 TSI DSG COMFORTLINE



","
                    2017","
                    61.000","
                    Gümüş Gri","
 125.500 TL","
25 Aralık

2019
","
                        İstanbulÜsküdar"
"
                        1.2 TSI Comfortline","















    VİP POLO FULL+FULL TR DE GÖNÜLLERDE
","
                    2012","
                    72.000","
                    Beyaz","
 60.000 TL","
25 Aralık

2019
","
                        İstanbulArnavutköy"
"
                        1.2 TSI Lounge","















    GÖNÜLTAŞ & NGR MOTORS TAN HATASIZ LOUNGE PAKET OTOMATİK



","
                    2015","
                    72.850","
                    Beyaz","
 105.900 TL","
25 Aralık

2019
","
                        ÇankırıMerkez"
"
                        1.2 TDi Trendline","















    SAHİBİNDEN..HASAR KAYITSIZ 2014 MODEL POLO 1.2 TEMİZ
","
                    2014","
                    72.000","
                    Beyaz","
 73.500 TL","
25 Aralık

2019
","
                        İstanbulMaltepe"
"
                        1.2 Trendline","















    Öğretmenden araç değişikliği için
","
                    2011","
                    65.000","
                    Kırmızı","
 58.750 TL","
25 Aralık

2019
","
                        KilisMerkez"
"
                        1.4 Comfortline","















    Memurdan 2011 Polo Düşük Km
","
                    2011","
                    58.000","
                    Gümüş Gri","
 69.500 TL","
26 Aralık

2019
","
                        VanEdremit"
"
                        1.4 TDi Trendline","















    sahibinden bakımlı
","
                    2016","
                    63.380","
                    Beyaz","
 79.000 TL","
26 Aralık

2019
","
                        AntalyaDiğer"
"
                        1.4 Comfortline","















    Çok temiz kullanılmış Polo düşük Km
","
                    2009","
                    70.050","
                    Beyaz","
 69.000 TL","
26 Aralık

2019
","
                        KonyaSelçuklu"
"
                        1.2 TSI Comfortline","















    ÖZEL SiPARİS HATASiZ 6C 1.2 TSİ AİR Polo Stage 1 YAZİLiM 115 HP
","
                    2014","
                    58.600","
                    Beyaz","
 99.000 TL","
26 Aralık

2019
","
                        AntalyaAlanya"
"
                        1.0 Trendline","















    ÇOK TEMİZ 83 binde BAKIMLI
","
                    2015","
                    82.000","
                    Beyaz","
 75.500 TL","
26 Aralık

2019
","
                        AnkaraÇankaya"
"
                        1.4 TDi Comfortline","















    HATASIZ, BOYASIZ, DEĞİŞENSİZ, HATA KAYITSIZ 2017 DİZEL POLO
","
                    2017","
                    69.000","
                    Beyaz","
 122.000 TL","
26 Aralık

2019
","
                        AnkaraÇankaya"
"
                        1.4 TDi Trendline","















    Sahibinden Boyasız-Değişensiz
","
                    2015","
                    65.000","
                    Beyaz","
 84.750 TL","
26 Aralık

2019
","
                        AnkaraEtimesgut"
"
                        1.2 TSI Comfortline","















    -GÜNDOĞAN AUTO- 2015 HATASIZ BOYASIZ



","
                    2015","
                    58.000","
                    Beyaz","
 95.900 TL","
26 Aralık

2019
","
                        ManisaSoma"
"
                        1.4 Comfortline","















    ÇOBAN OTOMOTİV'DEN 2013 VW POLO 1.4 OTOMATİK COMFORTLİNE BAKIMLI



","
                    2013","
                    64.000","
                    Gümüş Gri","
 83.000 TL","
26 Aralık

2019
","
                        İzmirGaziemir"
"
                        1.4 TDi Comfortline","















    SAHİBİNDEN 2016 WV Polo 1.4TDI DSG-CAM TAVAN-LED FAR
","
                    2016","
                    55.000","
                    Beyaz","
 118.900 TL","
26 Aralık

2019
","
                        İstanbulAtaşehir"
"
                        1.4 TDi Trendline","















    74.000 KM HATASIZ BOYASIZ
","
                    2014","
                    74.000","
                    Beyaz","
 81.000 TL","
26 Aralık

2019
","
                        AntalyaKepez"
"
                        1.2 TSI Comfortline","















    POLO 1.2 TSI DSG - 2015 - BOYASIZ - DEĞİŞENSİZ
","
                    2015","
                    78.750","
                    Beyaz","
 102.000 TL","
26 Aralık

2019
","
                        İstanbulKağıthane"
"
                        1.2 TSI Comfortline","















    Son 1 Hafta HATASIZ- TEMİZ-
","
                    2015","
                    53.000","
                    Siyah","
 87.250 TL","
26 Aralık

2019
","
                        DenizliMerkezefendi"
"
                        1.4 TDi Comfortline","















    63 Bin Km'de 1.4 TDi Comfortline Polo ''PAŞA OTOMOTİV'DEN''



","
                    2015","
                    63.000","
                    Füme","
 83.000 TL","
26 Aralık

2019
","
                        GaziantepŞehitkamil"
"
                        1.4 Comfortline","















    SAHİBİNDEN ŞEKER BEYAZI VW POLO
","
                    2011","
                    80.500","
                    Beyaz","
 68.500 TL","
26 Aralık

2019
","
                        BursaOrhangazi"
"
                        1.4 Chrome Edition","















    2013 POLO 1.4 CHROME EDİTİON CAM TAVANLI 73.000 km



","
                    2013","
                    73.000","
                    Beyaz","
 86.000 TL","
26 Aralık

2019
","
                        İzmirÖdemiş"
"
                        1.4 Chrome Edition","















    KADİRLİ OTOMOTİV'DEN YENİ SAHİBİNE HAYIRLI OLSUN



","
                    2013","
                    67.000","
                    Beyaz","
 90.000 TL","
26 Aralık

2019
","
                        OsmaniyeKadirli"
"
                        1.2 TSI Comfortline","















    PAZARTESİYE KADAR OPSİYONLANMIŞTIR.



","
                    2014","
                    74.000","
                    Gümüş Gri","
 73.000 TL","
26 Aralık

2019
","
                        TokatTurhal"
"
                        1.6 TDi Comfortline","















    BOYASIZ KAZASIZ ARAÇ ARAYANLARA



","
                    2017","
                    67.000","
                    Beyaz","
 121.750 TL","
26 Aralık

2019
","
                        İstanbulGüngören"
"
                        1.4 Trendline","















    TR'DE TEK 2006 VW POLO 1.4 65 bin km'de OTOMATİK VİTES HATASIZ



","
                    2006","
                    65.000","
                    Mavi","
 59.900 TL","
26 Aralık

2019
","
                        İstanbulAvcılar"
"
                        1.4 Comfortline","















    TUNÇ 'TAN 2012 VOLKSWAGEN POLO 1.4 COMFORTLİNE OTOMATİK 78.000KM



","
                    2012","
                    78.000","
                    Beyaz","
 81.750 TL","
26 Aralık

2019
","
                        ÇanakkaleBiga"
"
                        1.4 Comfortline","















    Temiz Orjinal Polo
","
                    2012","
                    74.500","
                    Beyaz","
 82.000 TL","
26 Aralık

2019
","
                        ManisaSalihli"
"
                        1.2 TSI Comfortline","















    2015 CAM TAVAN FULL YAPILI YILIN SON FIRSATI



","
                    2015","
                    75.000","
                    Beyaz","
 69.000 TL","
26 Aralık

2019
","
                        AntalyaKepez"
"
                        1.4 TDi Comfortline","















    =YENİ=2014=MODEL­=WOLSWAGEN=POLO=­1.4=TDI=DSG=OTOM­ATİK=COMFORTLINE



","
                    2014","
                    65.000","
                    Beyaz","
 77.500 TL","
27 Aralık

2019
","
                        AdanaSeyhan"
"
                        1.4 TDi Comfortline","















    MEMURDAN BOYASIZ 2016 OTOMATİK
","
                    2016","
                    52.000","
                    Beyaz","
 110.000 TL","
27 Aralık

2019
","
                        ŞanlıurfaKaraköprü"
"
                        1.4 Comfortline","















    HATASIZ BOYASIZ DÜŞÜK KM
","
                    2012","
                    50.000","
                    Beyaz","
 77.000 TL","
27 Aralık

2019
","
                        KayseriTalas"
